1	0	1
3	2	1
4	0	1
5	4	1
5	3	1
6	2	1
7	6	1
8	7	1
9	8	1
9	0	1
9	4	1
10	5	1
11	10	1
11	5	1
11	3	1
13	12	1
13	2	1
14	2	1
14	12	1
15	14	1
15	13	1
15	2	1
16	4	1
16	9	1
16	0	1
17	16	1
17	12	1
18	12	1
19	18	1
20	17	1
21	20	1
21	8	1
21	7	1
22	9	1
22	7	1
22	21	1
22	8	1
23	22	1
23	9	1
23	4	1
23	16	1
23	0	1
24	11	1
25	24	1
25	1	1
26	3	1
26	12	1
26	14	1
27	26	1
27	17	1
27	1	1
28	4	1
28	11	1
28	24	1
29	19	1
30	29	1
30	19	1
31	18	1
32	31	1
32	21	1
32	15	1
32	13	1
32	6	1
33	0	1
33	1	1
33	25	1
33	19	1
34	31	1
34	26	1
34	12	1
34	18	1
35	34	1
35	0	1
35	29	1
35	19	1
35	30	1
36	18	1
36	12	1
36	20	1
36	19	1
37	36	1
37	1	1
37	25	1
37	33	1
38	18	1
38	16	1
38	28	1
38	26	1
38	14	1
38	12	1
39	38	1
39	6	1
39	32	1
39	13	1
39	15	1
40	7	1
40	3	1
41	40	1
41	8	1
41	4	1
41	23	1
41	9	1
41	0	1
41	16	1
42	34	1
42	29	1
42	18	1
42	26	1
43	42	1
43	36	1
43	26	1
43	31	1
43	38	1
43	12	1
43	14	1
44	19	1
44	35	1
44	30	1
45	44	1
45	13	1
45	33	1
45	1	1
45	37	1
45	25	1
46	21	1
47	46	1
47	22	1
47	6	1
47	15	1
47	2	1
47	39	1
47	32	1
48	44	1
49	48	1
49	32	1
49	46	1
50	30	1
50	24	1
50	11	1
50	28	1
51	50	1
51	40	1
51	8	1
51	22	1
51	21	1
52	3	1
52	40	1
52	5	1
53	52	1
53	25	1
53	48	1
53	49	1
53	46	1
54	39	1
54	31	1
54	38	1
54	14	1
54	34	1
54	18	1
55	54	1
55	31	1
55	6	1
55	35	1
55	29	1
55	19	1
55	30	1
56	27	1
57	56	1
57	1	1
57	42	1
57	44	1
57	48	1
58	3	1
58	6	1
58	17	1
58	36	1
59	36	1
59	58	1
60	59	1
60	10	1
60	39	1
60	6	1
60	47	1
60	13	1
60	15	1
60	2	1
61	43	1
61	47	1
61	54	1
61	18	1
61	26	1
61	31	1
61	34	1
62	61	1
62	20	1
62	45	1
62	17	1
62	27	1
62	56	1
63	27	1
63	58	1
63	59	1
63	42	1
64	63	1
64	9	1
64	32	1
64	60	1
64	2	1
64	6	1
64	47	1
64	13	1
65	0	1
65	27	1
65	17	1
65	63	1
65	56	1
65	20	1
66	65	1
66	59	1
66	24	1
66	44	1
66	48	1
67	16	1
67	41	1
67	46	1
67	53	1
67	49	1
68	67	1
68	15	1
68	50	1
68	21	1
68	51	1
68	7	1
68	22	1
68	8	1
69	4	1
69	24	1
69	28	1
69	50	1
69	11	1
70	69	1
70	43	1
70	65	1
70	20	1
70	56	1
70	62	1
70	27	1
71	60	1
71	18	1
71	14	1
71	34	1
71	54	1
71	38	1
71	61	1
71	31	1
72	71	1
72	2	1
72	10	1
72	3	1
72	40	1
72	52	1
73	7	1
73	49	1
73	53	1
73	67	1
73	46	1
74	73	1
74	2	1
74	72	1
74	5	1
74	10	1
74	52	1
74	3	1
74	40	1
75	20	1
75	66	1
75	48	1
75	57	1
75	44	1
76	75	1
76	27	1
76	59	1
76	20	1
76	70	1
76	66	1
76	56	1
76	62	1
77	73	1
77	22	1
77	7	1
77	51	1
77	21	1
77	8	1
78	77	1
78	23	1
78	50	1
78	28	1
78	22	1
78	8	1
78	68	1
78	7	1
78	51	1
79	31	1
79	43	1
79	30	1
79	19	1
79	29	1
79	35	1
79	55	1
80	79	1
80	37	1
80	29	1
81	16	1
81	5	1
81	40	1
81	10	1
81	72	1
81	3	1
82	81	1
82	74	1
82	39	1
82	77	1
82	80	1
82	30	1
82	29	1
82	7	1
83	53	1
83	81	1
83	69	1
83	73	1
83	46	1
83	67	1
83	49	1
84	83	1
84	24	1
84	49	1
84	52	1
84	3	1
84	74	1
84	10	1
84	81	1
84	5	1
84	3	1
85	6	1
85	14	1
85	38	1
85	43	1
85	80	1
85	12	1
85	26	1
85	31	1
86	44	1
